,name,username,license,tags,mfcc,freesound_id,path
0,Animal Dog Bark And Growl 01.wav,abhisheky948,http://creativecommons.org/publicdomain/zero/1.0/,"['And', 'Animal', 'Bark', 'Dog', 'Growl']","[-947.025, 175.624, 2.373, -13.033, -12.256, 5.003, 3.499, 9.409, 6.056, 19.971, 3.345, -6.185, 5.029]",625501,files/625501_13366994-hq.ogg
1,Jazz the Dog Howl & Bark (051).wav,delphidebrain,https://creativecommons.org/licenses/by-nc/4.0/,"['Animal', 'Bark', 'Barking', 'Barks', 'Dog', 'Howl', 'Howling', 'Jazz', 'Wolf', 'delphidebrain']","[-988.626, 131.453, -23.542, -35.281, 6.453, -15.528, -5.674, 11.97, 8.948, 26.816, 9.774, -12.051, -10.78]",236282,files/236282_180659-hq.ogg
2,dog tripple bark,crazymonke9,https://creativecommons.org/licenses/by/4.0/,"['anger', 'angry', 'animal', 'animals', 'bark', 'barking', 'dog', 'dogs', 'growl', 'growling', 'pet', 'pets']","[-1007.412, 113.839, -22.385, -41.094, -37.701, -20.257, -9.148, 1.267, -4.146, -17.741, -4.623, 11.123, 17.966]",418108,files/418108_6078577-hq.ogg
3,Barking Inez 2,wateenfotos,http://creativecommons.org/publicdomain/zero/1.0/,"['bark', 'barking', 'dog', 'dogs', 'inez', 'woof']","[-1202.847, 28.296, 21.873, 27.351, 3.48, 21.255, 10.712, 8.476, 12.677, 7.759, 10.034, 8.702, 7.059]",749351,files/749351_16213215-hq.ogg
4,Dog Bark,aunrea,http://creativecommons.org/publicdomain/zero/1.0/,"['bark', 'dog', 'pet']","[-942.212, 90.564, 5.295, 31.818, 20.027, 15.321, -9.223, -4.634, -2.243, 15.573, 12.334, 3.789, 10.758]",495658,files/495658_7932944-hq.ogg
5,Small Dog Bark 01,noctaro,https://creativecommons.org/licenses/by/4.0/,"['animal', 'bark', 'barking', 'dog', 'pet', 'small']","[-916.427, 98.868, -74.52, -28.762, 2.568, 9.812, 19.201, 24.699, 17.592, 3.072, -13.138, -14.893, -5.613]",242414,files/242414_4165591-hq.ogg
6,Dog Barking Distance - 1.wav,SpaceJoe,http://creativecommons.org/publicdomain/zero/1.0/,"['attack', 'background', 'bark', 'barking', 'distance', 'dog', 'woof']","[-1143.411, 100.412, 0.62, -30.139, -15.664, 7.9, 9.662, 7.995, 9.056, 1.709, 5.377, 7.931, 5.57]",485962,files/485962_6150892-hq.ogg
7,Single Dog Bark,kwahmah_02,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'bark', 'barking', 'clean', 'dog', 'pet', 'public-domain', 'single', 'woof']","[-926.958, 48.431, -13.564, -16.591, -24.134, -16.898, -14.474, -7.063, 2.92, 2.187, 2.052, 5.386, -1.044]",277058,files/277058_4486188-hq.ogg
8,Barking Dog,SuperStudioBR,http://creativecommons.org/publicdomain/zero/1.0/,"['bark', 'barking', 'dog', 'happy', 'loud']","[-753.603, 105.483, -16.675, 1.826, 2.477, 0.269, 4.922, 6.651, 0.033, 2.187, -7.297, -5.728, -3.699]",180977,files/180977_3370987-hq.ogg
9,Excited Dog Barking,Filmscore,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'bark', 'barking', 'dog', 'growl', 'growling', 'pet']","[-1047.954, 118.23, 16.139, 6.022, 5.374, 15.299, 7.039, 10.947, 4.833, -0.063, -7.862, -6.734, -5.707]",823094,files/823094_843915-hq.ogg
