,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,,None_f0,213524__garzul__120-bpm-distorded-drum-loop.wav,0,4096,0.014968893490731716,-610.6093,171.3863,19.98127,52.50153,12.665468,14.36089,10.304015,9.495301,-2.3874311,10.9623375,3.5638525,-4.2704,4.4101987
1,,None_f1,213524__garzul__120-bpm-distorded-drum-loop.wav,4096,8192,0.006359823513776064,-760.77997,191.83379,15.245843,28.118511,4.1007214,16.3012,17.526976,20.067717,10.209132,11.320103,2.6732283,-0.60570174,10.328066
2,,None_f2,213524__garzul__120-bpm-distorded-drum-loop.wav,8192,12288,0.002600055420771241,-702.19635,35.689728,-17.177431,31.5433,-10.823902,7.2780247,-8.849287,9.557547,16.805626,4.5189514,7.588467,5.886111,3.0154314
3,,None_f3,213524__garzul__120-bpm-distorded-drum-loop.wav,12288,16384,0.003071555634960532,-632.4228,-14.642258,-57.7023,37.183216,-10.008492,14.882118,-6.8091626,-4.0611496,-5.6295176,-10.711342,1.3974874,1.5844802,-1.6677723
4,,None_f4,213524__garzul__120-bpm-distorded-drum-loop.wav,16384,20480,0.00036705960519611835,-788.47174,83.74251,-60.763344,2.984602,2.0707514,5.2102294,-24.195066,-3.6157062,7.743684,3.3165362,-9.738602,-14.365682,10.865704
5,,None_f5,213524__garzul__120-bpm-distorded-drum-loop.wav,20480,24576,0.007898896932601929,-526.3112,68.77538,-6.351094,26.446299,23.600931,30.05052,-2.2484868,-5.631184,-0.032694504,2.5761292,-15.612561,-11.596711,-7.106907
6,,None_f6,213524__garzul__120-bpm-distorded-drum-loop.wav,24576,28672,0.011589414440095425,-627.23236,146.83885,4.368865,51.68592,33.188583,35.01365,3.8716075,-2.0936348,14.443418,6.438991,1.7839769,-1.4782267,6.958376
7,,None_f7,213524__garzul__120-bpm-distorded-drum-loop.wav,28672,32768,0.007117698900401592,-544.68024,36.413265,-59.65696,-5.3477454,13.802605,30.279669,-11.286123,-14.988079,9.745225,1.7612246,3.2909658,-4.9913325,0.44891512
8,,None_f8,213524__garzul__120-bpm-distorded-drum-loop.wav,32768,36864,0.001432547578588128,-781.0993,76.23042,-76.73142,8.27468,24.066322,40.672318,-2.7592826,-15.226918,0.45423657,10.414997,-9.204352,-17.578945,3.3529706
9,,None_f9,213524__garzul__120-bpm-distorded-drum-loop.wav,36864,40960,0.0010053809965029359,-733.4386,155.2889,-24.043415,3.3807347,-25.522278,-13.45274,-6.670116,13.053061,10.065473,2.7070174,-3.8710587,7.1314306,1.9009414
