,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,tonality_key,tonality_scale,tonality_confidence
0,,None_f0,262350__stereo-surgeon__grinder-drum-loop.wav,0,4096,0.026447372511029243,-751.98004,233.8513,49.840572,7.440356,18.348694,19.653893,12.211754,14.073494,5.8998833,24.78928,12.542317,15.423445,6.0504036,0.02317209728062153,0.108711645,0.07218117,0.023208722,0.31124717,0.05313199,0.7710685,0.03215027,0.14302875,0.39758047,0.14453168,1.0,0.09994022,Bb,minor,0.6423377990722656
1,,None_f1,262350__stereo-surgeon__grinder-drum-loop.wav,4096,8192,0.017328795045614243,-1037.289,248.97627,111.74945,33.13585,25.523493,33.289757,30.831314,23.435362,17.256922,15.375352,16.017456,15.0215435,13.212188,0.005207826849073172,0.058434147,0.18407355,0.12080902,0.6513638,0.017883854,0.81641096,0.032778338,0.52473617,1.0,0.11593238,0.20260689,0.26466203,Bb,minor,0.8657862544059753
2,,None_f2,262350__stereo-surgeon__grinder-drum-loop.wav,8192,12288,0.004040981642901897,-1147.9579,148.02292,106.63507,64.324,38.200523,29.190695,27.49099,25.07179,21.710005,20.833382,22.952293,24.887526,24.158548,0.005120269954204559,0.097041264,0.0250752,0.29753765,0.080660276,0.30977464,0.8899079,0.04316055,0.1351457,1.0,0.2641683,0.068849586,0.15061773,G,minor,0.6317467093467712
3,,None_f3,262350__stereo-surgeon__grinder-drum-loop.wav,12288,16384,0.01395295187830925,-601.59424,191.09854,-9.29185,8.72015,6.8264356,12.837107,4.997464,17.419014,5.011023,4.2920594,19.634378,9.43508,0.79704005,0.07949139177799225,0.14150588,0.1493882,0.13647908,0.81882894,0.45099935,0.06862729,0.094242,0.30020952,1.0,0.43532565,0.22282079,0.22809108,Eb,minor,0.6011354923248291
4,,None_f4,262350__stereo-surgeon__grinder-drum-loop.wav,16384,20480,0.008828968740999699,-784.6929,260.37506,-38.253025,-20.359356,8.24065,13.772786,7.9708004,16.013428,19.705269,19.296959,12.118035,8.802919,13.026264,0.03894669562578201,0.60272074,0.031123484,0.11815106,0.46700138,0.34231853,0.021450024,0.06117919,0.027434934,1.0,0.3043948,0.023316033,0.04765491,A,major,0.4331345558166504
5,,None_f5,262350__stereo-surgeon__grinder-drum-loop.wav,20480,24576,0.02504189871251583,-756.2685,232.11916,51.202354,6.6017065,17.706482,16.426704,11.384683,14.139831,4.620375,23.204784,11.65969,16.459684,8.767775,0.02428155206143856,0.049706545,0.043839302,0.045011442,0.10903933,0.017678667,0.813511,0.033075336,0.038013503,0.24032995,0.11702691,1.0,0.050432324,G,major,0.6058453321456909
6,,None_f6,262350__stereo-surgeon__grinder-drum-loop.wav,24576,28672,0.021364839747548103,-779.6752,240.08481,-4.689417,36.169422,31.07457,29.209967,-9.668741,21.852207,23.037876,19.222332,10.022641,-3.5999851,0.83766675,0.03198319673538208,0.20268445,0.081659384,0.06795275,0.045191284,0.95100385,0.019033825,0.22474147,0.044213977,1.0,0.007137486,0.24515685,0.49764487,F,major,0.651764988899231
7,,None_f7,262350__stereo-surgeon__grinder-drum-loop.wav,28672,32768,0.013395600952208042,-773.2199,255.65523,-43.298347,-8.662839,13.709304,38.986332,15.020371,10.44853,20.100182,24.32751,18.291964,13.385392,13.085449,0.03497450053691864,0.22274268,0.24120007,0.2672493,0.09352701,0.055243466,0.062843636,0.13965428,0.113174535,1.0,0.19198671,0.17224881,0.7714276,Eb,minor,0.546718418598175
8,,None_f8,262350__stereo-surgeon__grinder-drum-loop.wav,32768,36864,0.01394813321530819,-585.85876,160.78555,-5.7849765,4.4742885,19.510172,16.212263,0.110283665,18.541521,8.112561,22.777718,19.803799,4.817481,-7.019456,0.08855006843805313,0.084824406,0.06090616,0.12772907,0.16289736,0.8065839,0.094523095,0.15041992,0.09697245,1.0,0.48494884,0.31592652,0.14519556,C,minor,0.5962945818901062
9,,None_f9,262350__stereo-surgeon__grinder-drum-loop.wav,36864,40960,0.010115488432347775,-790.50964,233.1259,-10.622311,-16.639116,9.542671,23.308249,-0.78192234,12.175834,18.798725,15.885145,14.793179,16.555155,6.3577495,0.04259476810693741,0.16278873,0.20979741,0.13790531,0.6609212,0.25785276,0.5826087,0.32938522,0.43737772,1.0,0.2665228,0.11590425,0.13957147,B,minor,0.6163138747215271
